,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,id
430,F,Y,Y,0,139500.0,Commercial associate,Incomplete higher,Married,House / apartment,-15463,-2165,0,0,0,High skill tech staff,2.0,-33.0,422
431,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,-13689,-1172,0,0,0,Sales staff,3.0,-29.0,423
432,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,With parents,-14754,-2871,1,0,0,Laborers,2.0,-34.0,424
433,M,N,N,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-15108,-211,1,1,0,Drivers,2.0,-19.0,425
434,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17835,-3273,0,0,0,Core staff,2.0,-11.0,426
435,F,Y,N,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20460,365243,0,0,0,NaN,2.0,-31.0,427
436,M,N,N,0,225000.0,Working,Higher education,Married,House / apartment,-12019,-1556,0,0,1,Sales staff,2.0,-18.0,428
437,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,-12782,-1078,0,0,0,Laborers,3.0,-18.0,429
438,M,Y,N,0,360000.0,Working,Higher education,Civil marriage,House / apartment,-11841,-3092,1,0,0,Managers,2.0,-55.0,430
439,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20132,365243,0,1,0,NaN,1.0,-42.0,431
440,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22365,365243,0,0,0,NaN,2.0,-9.0,432
441,M,Y,Y,1,157500.0,State servant,Higher education,Married,House / apartment,-11609,-2495,0,0,0,NaN,3.0,-17.0,433
442,M,N,Y,0,337500.0,Working,Higher education,Married,House / apartment,-13263,-5269,0,0,0,Managers,2.0,-43.0,434
443,F,Y,Y,1,315000.0,Working,Incomplete higher,Single / not married,House / apartment,-11725,-2044,0,0,0,Core staff,2.0,-1.0,435
444,M,N,N,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-10312,-703,0,1,0,Laborers,2.0,-47.0,436
445,F,Y,N,1,67500.0,State servant,Higher education,Married,House / apartment,-13876,-5370,1,0,0,High skill tech staff,3.0,-1.0,437
446,F,N,N,0,108000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22182,365243,0,0,0,NaN,1.0,-32.0,438
447,F,N,N,0,144000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21481,365243,0,0,0,NaN,1.0,-28.0,439
448,M,Y,N,2,225000.0,State servant,Higher education,Married,With parents,-10937,-1539,0,0,0,High skill tech staff,4.0,-38.0,440
449,F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21366,365243,0,0,0,NaN,1.0,-34.0,441
450,M,Y,N,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-14926,-3242,1,0,0,NaN,2.0,-32.0,442
451,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17927,-8553,0,0,0,Laborers,2.0,-3.0,443
452,F,Y,Y,1,180000.0,Working,Higher education,Single / not married,House / apartment,-14226,-3059,0,0,0,Sales staff,2.0,-60.0,444
453,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20688,365243,0,1,0,NaN,2.0,-15.0,445
454,F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-20600,-198,0,0,0,Laborers,2.0,-21.0,446
455,F,N,N,0,135000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-17615,-339,0,0,0,Accountants,1.0,-37.0,447
456,F,Y,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-20051,-7593,0,1,0,Private service staff,2.0,-30.0,448
457,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10551,-3000,0,0,1,Core staff,3.0,-17.0,141
458,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10647,-1610,0,0,0,Laborers,2.0,-30.0,449
459,F,N,N,0,112500.0,Working,Higher education,Single / not married,With parents,-11061,-157,1,1,0,High skill tech staff,1.0,-34.0,450
460,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,-10756,-2355,0,0,0,Core staff,3.0,-50.0,158
461,M,N,Y,0,211500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10072,-1101,1,1,0,Core staff,1.0,-32.0,451
462,F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11945,-1323,0,1,0,NaN,4.0,-10.0,452
463,F,Y,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,-9389,-1632,1,1,0,NaN,2.0,-10.0,453
464,F,N,Y,0,247500.0,Commercial associate,Higher education,Widow,House / apartment,-23339,-1233,0,1,0,NaN,1.0,-14.0,454
465,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17822,-1730,0,0,0,Managers,2.0,-7.0,455
466,M,Y,Y,1,193500.0,Working,Secondary / secondary special,Married,House / apartment,-10439,-2250,1,0,0,Core staff,3.0,-41.0,456
467,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-9970,-1315,0,0,0,Drivers,2.0,-10.0,457
468,F,N,Y,0,90000.0,Working,Higher education,Single / not married,House / apartment,-21532,-4630,0,0,0,Laborers,1.0,-45.0,458
469,F,N,N,0,108000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18827,-1131,0,1,0,Laborers,2.0,-11.0,459
470,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18816,-11494,0,0,0,Laborers,2.0,-32.0,460
471,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12555,-1858,0,0,0,Core staff,2.0,-31.0,461
472,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20441,365243,0,0,0,NaN,1.0,-34.0,462
473,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12988,-431,1,0,0,Sales staff,1.0,-3.0,463
474,F,N,Y,0,81000.0,State servant,Higher education,Widow,House / apartment,-19439,-6712,0,0,0,High skill tech staff,1.0,-33.0,464
475,M,Y,N,0,247500.0,Commercial associate,Higher education,Married,House / apartment,-16269,-803,1,0,0,Drivers,2.0,-40.0,465
476,M,N,N,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,-14243,-3535,0,0,0,Laborers,5.0,-52.0,466
477,F,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23336,365243,0,0,0,NaN,2.0,-43.0,467
478,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17835,-3273,0,0,0,Core staff,2.0,-26.0,426
479,F,N,Y,1,90000.0,State servant,Higher education,Married,House / apartment,-9764,-1160,0,0,1,Core staff,3.0,-11.0,468
480,F,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,-11900,-731,0,0,1,Sales staff,3.0,-46.0,469
481,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13643,-4663,0,1,0,Laborers,2.0,-29.0,470
482,F,Y,N,0,360000.0,Working,Higher education,Married,House / apartment,-12542,-4357,1,1,1,Managers,2.0,-24.0,471
483,F,Y,N,0,225000.0,Commercial associate,Higher education,Married,With parents,-11828,-165,0,0,0,Accountants,2.0,-10.0,472
484,F,N,Y,0,189000.0,Pensioner,Incomplete higher,Widow,House / apartment,-21845,365243,0,0,0,NaN,1.0,-7.0,473
485,F,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,-23369,-3437,0,1,0,Managers,1.0,-5.0,474
486,F,Y,Y,1,184500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15921,-1448,0,0,0,Managers,3.0,-10.0,475
487,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13805,-1557,0,0,0,Laborers,1.0,-7.0,476
488,F,N,Y,0,103500.0,Commercial associate,Higher education,Civil marriage,With parents,-9088,-2174,0,0,0,NaN,2.0,-43.0,477
489,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13217,-98,0,1,0,Sales staff,2.0,-4.0,478
490,M,Y,N,0,427500.0,Working,Higher education,Married,House / apartment,-16691,-1565,1,0,0,Managers,2.0,-48.0,479
491,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15646,-4614,0,0,0,Laborers,3.0,-11.0,480
492,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-18439,-2758,0,0,0,Laborers,2.0,-38.0,481
493,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16897,365243,0,1,1,NaN,1.0,-18.0,482
494,F,N,Y,3,103500.0,Working,Secondary / secondary special,Married,House / apartment,-12182,-4887,1,0,0,NaN,5.0,-10.0,483
495,M,Y,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10004,-1962,0,1,0,NaN,2.0,-20.0,484
496,F,N,N,1,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10151,-1138,0,0,0,Laborers,3.0,-14.0,485
497,M,Y,N,1,207000.0,State servant,Secondary / secondary special,Married,With parents,-15302,-1235,0,0,0,NaN,3.0,-59.0,486
498,M,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-15201,-315,0,0,1,Laborers,2.0,-6.0,487
499,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22523,365243,0,1,0,NaN,2.0,-8.0,488
500,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23570,365243,0,0,0,NaN,1.0,-5.0,489
501,M,N,Y,0,49500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-22129,365243,0,0,0,NaN,2.0,-1.0,490
502,M,N,Y,0,108000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24365,365243,0,0,0,NaN,2.0,-1.0,491
503,F,N,Y,3,157500.0,Working,Higher education,Married,House / apartment,-14274,-230,0,0,0,Accountants,5.0,-17.0,492
504,F,N,Y,0,103500.0,Commercial associate,Higher education,Married,House / apartment,-18826,-837,0,0,0,Cleaning staff,2.0,-5.0,493
505,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,-19963,-1235,0,1,0,Medicine staff,2.0,-18.0,494
506,F,N,N,1,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,-14687,-7401,1,1,0,High skill tech staff,3.0,-6.0,495
507,M,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23096,365243,0,0,0,NaN,2.0,-35.0,496
508,F,N,Y,0,65250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-19897,365243,0,1,0,NaN,1.0,-34.0,497
509,F,N,Y,0,360000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22933,365243,0,0,0,NaN,2.0,-12.0,498
510,M,Y,N,1,202500.0,Commercial associate,Higher education,Married,Municipal apartment,-15542,-888,0,0,0,Drivers,3.0,-30.0,499
511,F,N,Y,0,265500.0,Working,Secondary / secondary special,Married,House / apartment,-15925,-3335,1,1,0,Sales staff,2.0,-45.0,500
512,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16981,-1478,0,1,0,NaN,2.0,-47.0,501
513,F,N,N,1,202500.0,Working,Higher education,Civil marriage,With parents,-12506,-908,0,0,0,High skill tech staff,3.0,-37.0,502
514,M,N,N,0,270000.0,Working,Secondary / secondary special,Married,With parents,-11768,-622,1,1,0,Laborers,2.0,-40.0,503
515,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23018,365243,0,0,0,NaN,1.0,-55.0,504
516,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-14394,-919,0,1,0,Managers,1.0,-8.0,505
517,F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,-22037,365243,0,0,0,NaN,2.0,-6.0,506
518,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,Rented apartment,-16022,-9052,0,0,0,Sales staff,2.0,-39.0,507
519,M,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8242,-801,1,0,0,Laborers,1.0,-3.0,508
520,F,Y,Y,0,427500.0,Pensioner,Higher education,Married,House / apartment,-23655,365243,0,1,0,NaN,2.0,-15.0,509
521,F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-16188,-309,1,1,1,Sales staff,2.0,-37.0,510
522,F,N,Y,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-16347,-1812,0,0,0,Sales staff,2.0,-43.0,511
523,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17614,-4219,0,0,0,Sales staff,2.0,-32.0,512
524,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22115,365243,0,1,0,NaN,2.0,-20.0,513
525,M,Y,N,0,234000.0,Working,Secondary / secondary special,Married,House / apartment,-19378,-858,1,1,0,Laborers,2.0,-32.0,514
526,F,N,Y,0,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-19758,-1842,0,1,0,High skill tech staff,1.0,-6.0,515
527,F,N,N,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15473,-1649,0,0,0,Sales staff,3.0,-18.0,516
528,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-10363,-1282,0,0,0,Managers,1.0,-16.0,517
529,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21049,365243,0,0,0,NaN,1.0,-55.0,518
530,F,N,Y,0,180000.0,State servant,Higher education,Married,House / apartment,-17483,-1203,0,0,0,Core staff,2.0,-28.0,519
531,M,Y,N,2,427500.0,Commercial associate,Higher education,Married,House / apartment,-15144,-6400,1,0,0,Managers,4.0,-44.0,520
532,F,N,N,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-15260,-622,1,0,0,Laborers,2.0,-38.0,521
533,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12623,-5726,0,0,0,Laborers,3.0,-52.0,522
534,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-20470,-9269,0,0,0,Core staff,1.0,-44.0,523
535,M,Y,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-14811,-2628,0,0,0,Laborers,2.0,-31.0,524
536,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,0,0,0,Laborers,2.0,-5.0,32
537,F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,-15438,-2197,0,0,1,Secretaries,4.0,-39.0,525
538,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17579,-1904,1,0,0,Laborers,1.0,-59.0,526
539,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,-9983,-1923,0,0,0,NaN,2.0,-51.0,527
540,M,Y,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-18543,-1353,0,0,0,NaN,2.0,-23.0,528
541,M,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,Office apartment,-11702,-1493,0,0,0,Low-skill Laborers,2.0,-35.0,529
542,F,N,N,0,157500.0,Working,Higher education,Single / not married,House / apartment,-12870,-515,0,0,1,Sales staff,1.0,-1.0,530
543,M,Y,N,0,148500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10986,-3595,1,1,0,Laborers,2.0,-11.0,531
544,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21216,365243,0,1,0,NaN,2.0,-21.0,532
545,F,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13589,-1649,0,0,0,Waiters/barmen staff,3.0,-37.0,533
546,F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20931,365243,0,1,0,NaN,2.0,-12.0,534
547,M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,-17868,-1912,0,0,0,Drivers,3.0,-21.0,410
548,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-18767,-1842,0,0,0,Cleaning staff,2.0,-10.0,535
549,F,N,N,0,216000.0,Working,Secondary / secondary special,Separated,House / apartment,-20062,-561,1,0,0,Cleaning staff,1.0,-48.0,536
550,M,Y,N,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-14869,-6904,0,1,0,Laborers,2.0,-6.0,537
551,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15114,-560,0,0,0,Sales staff,2.0,-16.0,538
552,F,N,N,1,135000.0,State servant,Higher education,Married,House / apartment,-9454,-1022,1,0,0,Managers,3.0,-27.0,539
553,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-10482,-2654,0,0,0,NaN,2.0,-22.0,540
554,F,N,Y,1,126000.0,Working,Secondary / secondary special,Married,House / apartment,-11461,-1204,1,1,0,Cleaning staff,3.0,-33.0,541
555,F,N,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12760,-1518,0,0,0,NaN,4.0,-25.0,542
556,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11353,-2316,0,0,1,Accountants,2.0,-35.0,543
557,F,N,Y,0,40500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21177,365243,0,0,0,NaN,2.0,-44.0,544
558,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-17344,-553,0,0,1,Drivers,2.0,-36.0,545
559,F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,-19890,-2384,1,0,0,High skill tech staff,1.0,-57.0,546
560,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-21841,-1305,0,0,0,NaN,2.0,-32.0,547
561,F,Y,N,0,108000.0,Working,Secondary / secondary special,Married,With parents,-12249,-3195,1,0,0,NaN,2.0,-24.0,548
562,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18199,-5190,0,0,0,Cleaning staff,2.0,-12.0,549
563,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18109,-3484,0,0,0,Drivers,2.0,-33.0,550
564,F,N,N,2,225000.0,Working,Secondary / secondary special,Married,With parents,-12244,-2361,0,0,0,Sales staff,4.0,-29.0,551
565,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16173,-1710,1,1,0,Laborers,3.0,-15.0,552
566,F,N,Y,0,90000.0,Working,Higher education,Civil marriage,House / apartment,-16034,-1022,0,0,0,Medicine staff,2.0,-3.0,553
567,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,0,0,1,Core staff,2.0,-46.0,75
568,F,N,N,0,121500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23491,365243,0,0,0,NaN,1.0,-14.0,554
569,F,N,Y,1,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-16425,-2842,0,0,0,Managers,3.0,-40.0,555
570,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22892,365243,0,0,0,NaN,2.0,-13.0,556
571,M,N,N,0,81000.0,Working,Secondary / secondary special,Married,With parents,-11352,-671,1,0,0,Laborers,2.0,-21.0,557
572,M,Y,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-23211,365243,0,0,0,NaN,2.0,-42.0,558
573,M,Y,N,2,234000.0,State servant,Secondary / secondary special,Married,House / apartment,-10293,-3243,0,1,0,Laborers,4.0,0.0,559
574,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-15342,-5788,0,0,0,Low-skill Laborers,2.0,-59.0,560
575,F,N,N,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22867,365243,0,0,0,NaN,2.0,-2.0,561
576,M,N,Y,0,427500.0,Commercial associate,Higher education,Single / not married,House / apartment,-15798,-4117,0,1,1,Laborers,1.0,-51.0,562
577,M,Y,Y,1,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-16314,-882,0,0,0,Managers,2.0,-58.0,563
578,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22556,365243,0,1,0,NaN,1.0,-16.0,564
579,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-15462,-2969,0,0,1,Medicine staff,2.0,-7.0,69
580,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,0,0,0,Laborers,3.0,-6.0,187
581,M,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9930,-2324,0,0,1,Laborers,4.0,-54.0,389
582,M,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19451,-962,0,0,0,Core staff,2.0,-8.0,565
583,M,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18394,-5155,0,0,0,Laborers,3.0,0.0,566
584,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,-9983,-1923,0,0,0,NaN,2.0,-12.0,527
585,M,Y,Y,2,225000.0,Working,Higher education,Married,House / apartment,-13456,-992,0,0,0,Drivers,4.0,-34.0,567
586,F,N,N,2,121500.0,Working,Higher education,Married,House / apartment,-11697,-614,0,0,0,HR staff,4.0,-2.0,568
587,F,N,N,2,135000.0,Working,Secondary / secondary special,Married,With parents,-11296,-1670,0,0,0,Core staff,4.0,-38.0,569
588,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21511,365243,0,1,0,NaN,2.0,-42.0,570
589,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16285,-1184,0,0,0,Laborers,2.0,-12.0,571
590,M,Y,Y,2,265500.0,Working,Higher education,Married,House / apartment,-11630,-1904,0,0,0,Laborers,4.0,-2.0,572
591,M,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-21362,-1520,0,0,0,Laborers,2.0,-53.0,573
592,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21435,365243,0,0,0,NaN,2.0,-7.0,574
593,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-20267,365243,0,0,0,NaN,1.0,-9.0,575
594,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13856,-3010,0,0,0,Laborers,2.0,-6.0,55
595,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,-17372,-978,0,1,0,Sales staff,2.0,-57.0,576
596,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-20723,-5587,0,0,0,NaN,2.0,-19.0,577
597,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22283,365243,0,0,0,NaN,2.0,-7.0,215
598,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,-14562,-1287,0,1,0,Core staff,2.0,-19.0,578
599,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23639,365243,0,0,0,NaN,1.0,-47.0,579
600,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15836,-3034,0,0,0,NaN,2.0,-32.0,580
601,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,-11984,-2043,0,0,1,Core staff,1.0,-54.0,581
602,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22123,365243,0,0,1,NaN,2.0,-7.0,582
603,F,N,N,1,180000.0,Working,Incomplete higher,Married,With parents,-9911,-2665,0,0,0,NaN,3.0,-13.0,261
604,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,-22379,365243,0,0,0,NaN,1.0,-31.0,583
605,F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13436,-2452,0,0,0,High skill tech staff,2.0,-11.0,584
606,M,N,N,1,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-15437,-7835,0,1,0,NaN,3.0,-27.0,585
607,F,N,Y,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,-10633,-127,1,0,0,Sales staff,3.0,-25.0,586
608,F,Y,Y,0,175500.0,Pensioner,Higher education,Married,House / apartment,-22077,365243,0,1,0,NaN,2.0,-14.0,587
609,F,N,Y,2,135000.0,Working,Incomplete higher,Married,House / apartment,-10598,-2175,0,0,1,Sales staff,4.0,-15.0,588
610,F,N,Y,1,126000.0,Working,Higher education,Married,House / apartment,-12662,-1359,1,1,1,Sales staff,3.0,-2.0,589
611,M,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-14697,-2470,1,0,0,Security staff,2.0,-13.0,590
612,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-17262,-1107,1,1,0,Sales staff,3.0,-38.0,591
613,M,N,Y,0,148500.0,Working,Secondary / secondary special,Married,House / apartment,-18690,-5014,0,0,0,Laborers,2.0,-49.0,592
614,F,N,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-11268,-2545,1,1,0,Laborers,2.0,-29.0,593
615,F,N,N,0,270000.0,Working,Secondary / secondary special,Widow,House / apartment,-18659,-407,0,0,0,Cooking staff,1.0,-43.0,594
616,M,Y,N,1,202500.0,Working,Secondary / secondary special,Separated,With parents,-13745,-622,1,0,0,Laborers,2.0,-31.0,595
617,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-16940,-563,0,0,0,Laborers,2.0,-39.0,596
618,F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20681,365243,0,0,0,NaN,2.0,-4.0,597
619,M,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9926,-461,0,0,0,Drivers,1.0,0.0,598
620,M,N,Y,1,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11524,-2554,0,0,0,Sales staff,3.0,-42.0,196
621,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21440,365243,0,1,0,NaN,1.0,-3.0,599
622,M,N,N,0,121500.0,Working,Higher education,Married,House / apartment,-9740,-3030,0,0,0,NaN,2.0,-32.0,600
623,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-16491,365243,0,0,0,NaN,2.0,-42.0,601
624,M,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11495,-581,0,0,0,Security staff,1.0,-3.0,602
625,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Separated,With parents,-19523,-259,0,0,0,NaN,1.0,-4.0,603
626,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16548,-1350,0,0,0,Core staff,2.0,-51.0,604
627,F,Y,Y,1,94500.0,Working,Secondary / secondary special,Married,House / apartment,-19780,-6849,0,0,0,Managers,3.0,-32.0,605
628,F,N,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-16495,-1437,0,0,0,Sales staff,2.0,-5.0,606
629,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20005,365243,0,1,0,NaN,2.0,-27.0,607
630,F,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-23640,365243,0,1,1,NaN,2.0,-13.0,608
631,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22176,365243,0,0,0,NaN,2.0,-53.0,609
632,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10576,-901,1,1,0,Laborers,1.0,-35.0,610
