제목,내용
"‘히메컷’ 송혜교, 美 멧갈라 참석…옆에 있는 <b>남자</b>는?","





배우 송혜교가 세르주 브륀슈위그 펜디 CEO와 함께 2023년 5월 1일 미국 뉴욕 메트로 폴리탄 미술관에서 열린 ‘칼 라거펠트: 라인 오브 뷰티’에 참석했다. (GettyImages)/코리아배우 송혜교가 1일(현지시간) 미국 뉴욕에 위치한 메트로폴리탄 미술관에서 세계 최대 패션 자선 행사 ‘멧 갈라’(Met Gala)에 참석했다.올해의 테마는 ‘칼 라거펠트: 라인 오브 뷰티’로 페넬로페 크루즈, 미카엘라 코엘, 로저 페더러, 두아 리파 등이 의장을 맡았다.송혜교는 럭셔리 브랜드 펜디의 살구빛 드레스를 입고 멧 갈라 레드카펫에 모습을 드러냈다. 옆머리를 잘라 히메 컷을 하고 뒷 머리를 땋아 길게 늘어뜨린 송혜교의 아름다운 미모가 눈길을 끈다. 송혜교는 펜디 앰버서더 자격으로 올해 멧 갈라에 초대받은 것으로 알려졌다.최근 넷플릭스 시리즈 ‘더 글로리’를 통해 연기력을 입증한 송혜교는 제59회 백상예술대상에서 TV부문 여자 최우수 연기상을 수상했다. 차기작으로는 한소희와 함께 ‘자백의 대가’를 준비 중이다.



배우 송혜교가 2023년 5월 1일 미국 뉴욕 메트로 폴리탄 미술관에서 열린 ‘칼 라거펠트: 라인 오브 뷰티’에 참석했다. (GettyImages)/코리아



배우 송혜교가 2023년 5월 1일 미국 뉴욕 메트로 폴리탄 미술관에서 열린 ‘칼 라거펠트: 라인 오브 뷰티’에 참석했다. (GettyImages)/코리아한편 멧 갈라는 매년 영화, TV, 음악 전반에 걸친 스타들을 초대한다. 올해는 송혜교, 블랙핑크 제니, 최소라를 비롯해 피비 브리저스, 카디B, 제시카 채스테인, 피트 데이비슨, 도자 캣, 빌리 아일리시, 지지 하디드, 앤 해서웨이, 카일리 제너, 켄달 제너, 킴 카다시안, 아리아나 데보스, 니콜 키드먼, 제니퍼 로페즈, 페드로 파스칼, 로버트 패틴슨, 플로렌스 퓨, 마고 로비, 올리비아 로드리고 등 많은 스타들이 참석했다.



배우 송혜교, 최소라, 제니가 2023년 5월 1일 미국 뉴욕 메트로 폴리탄 미술관에서 열린 ‘칼 라거펠트: 라인 오브 뷰티’에 참석했다. (GettyImages)/코리아 



배우 송혜교가 2023년 5월 1일 미국 뉴욕 메트로 폴리탄 미술관에서 열린 ‘칼 라거펠트: 라인 오브 뷰티’에 참석했다. (GettyImages)/코리아



배우 송혜교가 세르주 브륀슈위그 펜디 CEO와 함께 2023년 5월 1일 미국 뉴욕 메트로 폴리탄 미술관에서 열린 ‘칼 라거펠트: 라인 오브 뷰티’에 참석했다. (GettyImages)/코리아

"
"“‘<b>패션</b> 테러범’ 전 남친, 옷을 못 입어서 외출하려다가∼” 한혜진, 웃픈 ...","
  
   사진=KBS Joy '연애의 참견 시즌3' 방송 화면 캡처     모델 출신 방송인 한혜진이 ‘패션 테러범’ 남자친구 때문에 외출 없이 집에서 밥을 먹었다고 고백했다.   15일 방송된 KBS Joy ‘연애의 참견 시즌3’에서는 자신을 맛집에 데려가며 옷을 코디해주는 여자 사람 친구와의 관계가 썸으로 발전할 수 있는지에 대한 사연이 등장했다.   이에 김숙은 “줄 서서 가는 맛집에 관심 없는 남자랑 가는 건 불가능하다”며 “‘내일은 뭐 입고 올 거야’ 이런 식으로 보낼 거 같다. 옷도 맞추다 보면 마음도 맞춰질 거 같다”고 조언했다.   그러면서도 김숙은 “하나 걸리는 게 있다. 너무 친한데 옷을 못 입어서 그런 거 아닌지 그게 걸린다. 다 좋은데 옷을 너무 못 입으니 ‘그 옷에 그게 제일 예뻐’ 이러는 거 같기도 하다”고 설명했다.   이를 들은 한혜진은 “나도 저런 적 있거든. 아니 오빠 오늘은 그냥 집에서 먹자 (그랬다)”고 웃픈 과거를 실토해 웃음을 더했다.
"
"한혜진 “전 남친 ‘<b>패션</b> 테러범’, 강제 집 데이트” (연참3) [TV체크]","
 
한혜진이 ‘패션 테러리스트’ 전 남자친구를 언급했다.15일 방송된 KBS joy ‘연애의 참견 시즌3’ 115회에서는 고민남과 드레스 코드를 맞춘 여사친(여자 사람 친구) 행동에 대한 다양한 해석이 나왔다.이날 김숙은 여사친 행동에 ‘YES 썸’을 이야기했지만, 한 가지 짚고 넘어갔다. 김숙은 “고민남과 여사친이 너무 친하다. 그런데 고민남이 너무 옷을 못 입는다. 같이 다니기 창피할 수 있다. 그래서 여사친이 조언해준 게 아닐까 싶기도 하다”고 말했다. 
 
 
 
 
 
 
 
 
그 말에 한혜진은 크게 동조하며 “어떡해. (김숙 말이) 맞는 것 같다. 나도 경험이 있다. 그때 ‘오빠 그냥 집에서 먹자’고 했었다”고 말했다. 그러자 김숙은 한혜진과 전 남자친구 모습이 떠오르는 듯 박장대소했다.한편 한혜진은 해당 고민에 대한 참견으로 “사진을 찍었으면 친구에게 전송하면서 ‘누가 우리 커플 같다’고 하더라”고 말했다.동아닷컴 홍세영 기자 projecthong@donga.com
"
"&apos;하늘의 인연&apos;→&apos;낭만닥터 김사부3&apos;…변우민, 월→토 책임지는 &apos;안방의 <b>남자</b>&apos;","
 
▲ 변우민. 제공| 디어이엔티[스포티비뉴스=장진리 기자] 배우 변우민이 일주일 내내 시청자들을 만나며 '열일' 중이다.변우민은 MBC 일일드라마 '하늘의 인연'과 SBS 새 금토드라마 '낭만닥터 김사부3'에 출연 중이다.'하늘의 인연'에서는 선주 패션 회장 하윤모를 연기한다. 하윤모는 태생부터 로열 패밀리로, 늘 여유롭고 자존감 높은 캐릭터다. 변우민은 '착붙 연기'로 '하늘의 인연'의 평일 안방 인기 몰이를 이끌고 있다.'낭만닥터 김사부3'에서는 프리랜서 마취과 담당의 남도일 역으로 다시 한 번 시청자들을 만나는 중이다.시즌1부터 굳건히 드라마를 지키고 있는 그는 수술실에서는 냉정하고 프로페셔널하지만, 돌담병원에 힘든 일이 생길 때마다 따뜻하게 의사들을 품고 다독여주는 존재로 시청자들에게 힐링을 선사하고 있다.두 드라마에서 각기 다른 캐릭터를 소화하고 있는 변우민의 묵직한 열연이 눈길을 끈다.
"
"사각팬티 입은 여자, 샤넬백 멘 <b>남자</b>…이 <b>패션</b>이 먹히는 이유","

패션·문화계 남녀의 성벽 무너져향수·제복도 성별 구분 지우는 중  



샤넬백을 매고 등장한 가수 지드래곤. 지드래곤은 10년째 샤넬의 공식 뮤즈이자 글로벌 앰배서더로 활동 중이다. 뉴스1           샤넬 백에 분홍 스카프 매는 남자, 화장하지 않고 넉넉한 재킷 입는 여자, 나무냄새 향수를 즐기는 남녀, 바지 교복을 입는 여학생, 운동화 신은 승무원….      패션과 문화계 중심으로 남녀의 ‘성(性)벽’이 빠르게 무너지고 있다. 남녀 성별 구분에서 벗어나 개인의 개성을 존중하려는 젠더뉴트럴(gender neutral), 젠더리스(genderless) 바람이 심상치 않다. 이는 ‘남자다움’ ‘여자다움’의 구분을 지양하고 성 평등을 이루려는 MZ(밀레니얼·Z)세대의 가치관과 맞물려 사회 전반과 일상생활에 스며들고 있다.    ━   샤넬 백 들고, 배꼽티 입은 남자 아이돌        



BTS 멤버 뷔는 명품 브랜드의 보테가 베네타의 핸드백을 매고 등장했다. 뉴스1           새빨간 립스틱에 뺨엔 핑크색 블러셔, 눈에 진한 아이섀도를 바르고 화장품 모델로 나선 남자 아이돌의 모습은 이제 낯설지 않다. 지방시뷰티의 강다니엘, 토니모리의 김요한, 베네피트의 하성운, 클리오의 김우석 등이 대표적인 예다.       여성의 전유물로 알려진 명품 핸드백을 드는 남자 아이돌도 심심치 않게 볼 수 있다. 가수 지드래곤은 지난달 화보에서 트위드 재킷과 분홍색 머플러, 샤넬 토트백, 진주 목걸이를 착용했다. 지드래곤은 10년 가까이 샤넬의 공식 뮤즈이자 글로벌 홍보대사로 활동 중이다. BTS(방탄소년단)의 멤버 뷔도 지난해 명품 ‘보테가베네타’의 작은 핸드백을 어깨에 메고 공항에 등장했다.        심지어 남성용 배꼽티(크롭탑)까지 등장했다. 여성의 잘록한 허리가 아닌 복근을 드러낸다. 엑소의 카이, 강다니엘 등은 최근 무대에서 배꼽이 드러나는 의상을 착용했다.       ━   아버지 재킷에 사각팬티 입는 여성        



여성복 텐먼스는 '마스터핏 수트'의 인기로 지난해 목표한 매출의 4배를 초과 달성했다. 사진 신세계인터내셔날           반대로 여성은 볼륨 있는 몸매를 강조한 디자인보다 큼직한 오버핏 수트를 찾는다. 가수 겸 배우 정려원과 손담비가 2018년 한 예능 프로그램에 출연해 동묘 구제 시장에서 찾아 낸 재킷과 바지로 ‘아버지 정장 스타일’을 재현한 것처럼 많은 여성 소비자가 여성스러움을 배제한 옷을 찾고 있다. 실제로 신세계인터내셔날의 온라인 전용 브랜드 ‘텐먼스’는 기본 핏에 충실한 ‘마스터핏 슈트’의 인기로 지난해 목표 매출액을 4배 초과 달성했다.        사각팬티를 입는 여성도 있다. 라이프스타일 브랜드 ‘자주’는 남성의 전유물로 여겨진 사각팬티를 여성용으로 지난해 말 출시했는데, 2개월 만에 속옷 전체 매출의 10%를 차지할 정도로 인기다. ‘노라인 보이쇼츠’(드로즈)는 여성용 팬티 카테고리 판매 1위를 차지했다.       



라이프스타일 브랜드 자주는 남성용 속옷인 트렁크를 여성 사이즈에 맞게 출시했다. 사진 신세계인터내셔날           원래 여성복 브랜드인데 난데없이 남성 고객들이 늘면서 중성적인 옷을 확대한 경우도 있다. 스튜디오 톰보이는 남성들이 자신들에게도 맞을 법한 큰 사이즈의 티셔츠, 통이 넓은 바지를 구매하는 것을 보고 2019년부터 젠더뉴트럴한 상품을 내놓기 시작했다. 브랜드 관계자는 “이제는 남녀가 함께 입을 수 있는 재킷이나 티셔츠를 다양하게 기획하고 있다”고 말했다.       ━   성별 구분 지우는 향수·제복 시장       



신생 항공사 에어로케이는 남녀 공용의 유니폼 디자인을 공개했다. 사진 에어로케이            향수업계에서는 ‘남성용’ ‘여성용’ 구분이 사라진 지 오래다. 향수 브랜드 딥디크·바이레도·엑스니힐로 등은 소비자 성별에 차이를 두지 않는다. 상큼한 시트러스 계열의 향을 즐기는 남성뿐 아니라 묵직한 우디향을 선택하는 여성 고객도 늘고 있기 때문이다.        교복·제복 등 유니폼 업계도 젠더뉴트럴을 반영하고 있다. 학생복 브랜드 스쿨룩스는 지난해 여학생 교복 바지 화보를 공개했다. 같은 해 신생 항공사 에어로케이도 바지와 맨투맨 티셔츠, 재킷·조끼·운동화 등으로 구성된 승무원 유니폼을 제시했다.      ━   유니섹스와 다른 젠더뉴트럴·젠더리스        



남자 아이돌 엑소 멤버 카이(왼쪽)는 무대에서 배꼽이 드러나는 크롭탑을 입고 등장했다. 사진 유튜브 캡처            남녀의 경계를 허무는 파격적인 패션은 과거에도 있었다. 가수 김원준은 1995년 치마바지 패션으로 일대 화제를 일으켰다. 가수 박지윤은 2002년 중절모에 넥타이를 착용한 채로 ‘난 남자야’를 외쳤다. 남녀 모두 입을 수 있는 일명 ‘유니섹스’ 패션이 1970~80년대 유행한 적도 있다.        그러나 유니섹스와 지금의 젠더뉴트럴·젠더리스는 사뭇 다른 개념이다. 유니섹스는 여성이 무조건 남성복 스타일의 티셔츠, 반바지 등을 입었던 것에 불과했다. 이에 반해 젠더리스는 성의 이분법 파괴를 목적으로 중성성을 표현하는 것이 특징이다.        더 나아가 젠더뉴트럴은 남녀 구분 자체를 없애고 중립적으로 사람 자체로만 사고하려는 움직임을 말한다. 기존의 성 역할에서 벗어나 자신을 표현하고 성에 고정되지 않은 나 자체로 삶을 영위하려는 철학이 반영돼 있다. 남자가 여자처럼, 여자가 남자처럼 등 일방적인 성별의 교체와는 구별된다.     ━   “나는 여성도, 남성도 아니다”      



헐리우드 배우 엘리엇 페이지는 성 전환 수술 이후 스스로를 '논바이너리'라고 재정의했다. AFP=연합뉴스            한국에는 다소 낯선 개념이지만, 미국·유럽에는 ‘논바이너리(non-binary)’라는 새로운 정체성도 등장했다. 논바이너리는 자신의 성을 남성 또는 여성으로 규정할 수 없다고 말하는 이들이다.        미국 드라마 ‘빌리언스’에는 미국 TV 역사상 최초로 논바이너리 캐릭터가 등장한다. 헤지펀드 매니저 테일러 메이슨은 생물학적으로 여자이지만, 삭발 머리에 넥타이를 즐겨 맬 뿐 아니라 여성을 뜻하는 인칭대명사를 모조리 거부한다. 그(he) 또는 그녀(her)가 아닌 그들(they)이라고 불러야 한다. 이름 앞에는 미스(Miss), 미스터(Mr.)가 아닌 ‘Mx.’를 붙인다.       메이슨 역을 연기한 배우 아시아 케이트 딜런(36)은 실제로도 논바이너리다. 딜런 뿐 아니라  영화 ‘인셉션’ ‘엑스맨’으로 잘 알려진 엘리엇 페이지(34)도 성전환 수술 이후 정체성을 논바이너리로 재정의했다. 영국 싱어송라이터 샘 스미스(28)는 10세 때 자신을 게이로 알렸지만, 2019년 논바이너리로 다시 커밍아웃했다.        문화계는 이러한 시대적 흐름을 적극적으로 반영해야 한다는 입장이다. 베를린영화제는 올해 남녀 주연·조연상 구분을 폐지했다. 베를린영화제 첫 여성 집행위원장인 마리에트 리센백은 “영화 산업계에서 젠더 의식을 높이는 신호가 될 것”이라고 취지를 밝혔다.        배정원 기자 bae.jungwon@joongang.co.kr  ▶ 그가 들려주는 이야기, 이상언의 '더 모닝'▶ 건강한 주식 맛집, 앤츠랩이 차린 메뉴▶ '실검'이 사라졌다, 이슈는 어디서 봐?ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지
		
"
"전현무, 前여친 한혜진 향한 리스펙트 “<b>패션</b> 원톱이지”(나혼자산다)[어제TV...","
 
[뉴스엔 김명미 기자] 기안84가 전현무 전(前) 여자친구 한혜진을 언급했다. 동공지진을 일으키던 전현무는 이내 한혜진을 '리스펙트'했다.4월 14일 방송된 MBC 예능프로그램 '나 혼자 산다'에서는 전현무와 코드 쿤스트, 기안84와 송민호의 패션 대전 그 두 번째 이야기가 공개됐다.이날 전현무 팀은 의상을 고른 뒤 코드 쿤스트가 준비한 시크릿 플랜을 가동했다. 남성미 넘치는 유러피안 스타일을 위해 바버숍을 예약한 것. 전현무의 수염 스타일링은 무지개 회원들의 감탄을 불렀다.전현무는 ""그동안 수염을 제거 대상이라고 생각했는데 (송)민호도 코쿤도 제 수염을 부러워하더라""며 ""내가 왜 제거하려고만 했을까. 평생을 미워했는데 얘들을 애정 어리게 보게 됐다""고 말했다.면도 후 헤어 스타일링이 시작됐다. 얇은 머리카락을 가진 전현무는 바버의 도전 의욕을 불러일으키는 손님에 등극했다. 전문가의 손길 덕에 전현무는 고급스러운 비주얼로 변신했고, 코드 쿤스트는 자아도취한 전현무에게 ""볼에 혀 넣지 마라""며 질색했다. 전현무는 스스로를 톰 하디에 비유하며 ""무 하디가 됐다""고 자화자찬했다.전현무는 곧바로 송민호에게 전화를 걸었다. 전현무는 ""우리는 준비가 다 됐는데 시간을 더 주는 건 애매할 것 같다. 왜 이렇게 오래 걸리냐""며 도발했고, 송민호는 ""저희는 너무 일찍 끝나서 밥 먹고 잠까지 잤다""고 받아쳤다. 
일찌감치 패션 대전 의상을 정하고 여유를 만끽하던 기안84와 송민호는 패션 대전이 열릴 장소로 향했다. 전현무와 코드 쿤스트도 대결 장소로 갔다. 이런 가운데 길에서 만난 학생들은 코드 쿤스트에게만 환호해 '웃픔'을 유발했다.이후 전현무와 코드 쿤스트가 대결 장소에 도착했다. 대결 장소는 뜻밖에도 해장국집이었다. 코드 쿤스트는 ""대결 장소가 속상했다. 무드 로를 원한다고 해서 유럽 거리에 어울리게 만들어놨는데 갑자기 해장국집을..""이라고 털어놨다. 전현무는 ""좀 멋진 데서 만나고 싶었는데 너무 배가 고팠다. 아침부터 해장국 생각밖에 안 났다""고 말했다.이어 기안84도 해장국집에 도착했다. 대결 장소에서 만난 두 사람은 서로의 의상을 스캔하더니 마구 놀리며 신경전을 벌였다. 눈 뜨고 못 봐줄 비주얼에 ""외계인이 걸어오더라"" ""웃기는 걸로 콘셉트를 잡았냐""며 비난을 퍼부었다.이런 가운데 전현무는 ""어떤 식으로 대결 투표를 해야 될까""라고 질문했고 ""패션계 종사자도 괜찮겠다""는 의견이 나왔다. 그때 기안84는 전현무에게 ""아니면 이참에 한 번 연락해라""며 전 여자친구 한혜진을 간접 언급했다.이에 전현무는 모르는 척하며 ""아는 모델 있냐""고 물었지만, 기안84는 ""그 사람밖에 없는데..""라고 답했다. 전현무는 ""이현이 씨?""라며 말을 돌리다 ""내가 표가 나오겠냐? 이 자식아?""라고 발끈했다.스튜디오에서 키는 ""무슨 이야기 하나 했다""며 폭소했고, 박나래는 ""그분이 패션은 확실하지""라며 고개를 끄덕였다. 기안84는 ""톱이지 않나""라며 거들었고, 전현무는 미소를 보이며 ""원톱이지""라고 인정했다.한편 한혜진도 최근 전 남자친구 전현무를 간접적으로 언급한 바 있다. 지난 3월 31일 방송된 채널A '결혼 말고 동거'에서 한혜진은 이성의 키를 보냐는 물음에 ""아시잖아요""라고 반응해 웃음을 자아냈다.(사진=MBC '나 혼자 산다' 캡처)
"
"소녀시대 출신 제시카 설립 브랜드, 건물 월세 밀려 &apos;강제집행&apos;","

			그룹 소녀시대 출신 제시카가 설립한 패션 브랜드 '블랑 앤 에클레어' 본점이 입주해 있던 건물의 임대료를 미납해 법원으로부터 강제집행 절차를 밟은 것으로 파악됐다.25일 법률신문 등에 따르면 서울중앙지방법원 집행관들은 지난 24일 서울시 강남구 청담동에 위치한 블랑 앤 에클레어 본점에 대한 인도 집행을 실시했다. 강제집행 절차로도 알려진 해당 절차는 사법상 의무를 이행하지 않는 자에게 국가가 강제로 그 의무를 이행하는 절차다.



그룹 소녀시대 출신 제시카. [사진=제시카 인스타그램]블랑 앤 에클레어 측은 지난 2021년 12월 임대차 계약에 따른 월 차임 미납으로 입점해 있던 건물의 건물주로부터 건물명도 청구 소송을 당했다.법원은 지난해 6월 화해 권고 결정을 내렸고 건물주 측은 블랑 앤 에클레어 측의 추가적인 차임 연체가 있으면 실제 집행을 하는 것을 조건으로 권고를 받아들였다.그러나 블랑 앤 에클레어 측은 지난해 말부터 다시 차임을 연체했고 이에 법원 집행관들이 인도 집행을 한 것으로 전해졌다.



그룹 소녀시대 출신 제시카가 설립한 패션 브랜드 '블랑 앤 에클레어'. [사진='블랑 앤 에클레어' 홈페이지]이와 관련해 블랑 앤 에클레어 대표이자 제시카의 남자친구 타일러 권은 스포티비와의 인터뷰에서 ""신종 코로나바이러스 감염증(코로나19) 당시 운영에 어려움을 겪어 월세를 미뤄달라고 했는데 거절당했다. 이후 합의서를 썼고 '3개월 미납 시 건물을 비우고 나간다'와 '엘리베이터를 켠다'는 서로의 조항이 있었다""고 설명했다.이어 ""합의 후 6개월이 지나도 건물주가 오후 10시 이후 엘리베이터를 운행해 주지 않았다. 2층에서도 와인바를 운영하고 있었는데 엘리베이터가 꺼져 비즈니스에 방해를 받았다. 월세를 못 낸 것이 아니라 안 낸 것""이라고 주장했다.그러면서 조건을 먼저 지키지 않은 건물주를 상대로 법적 대응을 검토 중이라고 덧붙였다.

"
"안재현, 뿔테안경에 셔츠 일상룩…귀여운 가을 <b>남자</b> [MD<b>패션</b>]","
 
[마이데일리 = 정진아 기자] 배우 안재현(34)이 귀여운 비주얼을 뽐냈다.  안재현은 26일 자신의 인스타그램에 별다른 멘트 없이 여러 장의 사진을 게재했다.  
 
공개된 사진에는 알이 없는 검은색 뿔테 안경을 착용한 채 포즈를 취하는 안재현의 모습이 담겼다. 모델 출신다운 완벽한 옷핏과 남다른 패션 센스가 눈길을 끈다. 카멜 컬러의 셔츠에 블랙 슬랙스를 매치, 포근하면서도 귀여운 분위기를 풍겼다. 무엇보다 하얀 피부와 함께 35세 나이가 믿기지 않는 뱀파이어 비주얼을 선보이며 감탄을 자아낸 안재현이다. 이를 본 네티즌들은 ""안재현이 좋다…"", "", ""나 뿔테 안경 쓴 남자 좋아하네"" 등의 반응. 한편 안재현은 지난해 7월 배우 구혜선과 이혼했으며, 지난 5월 티빙 오리지널 '신서유기 스페셜 스프링 캠프'에 출연했다. [사진 = 안재현 인스타그램](정진아 기자 avance_e@mydaily.co.kr)
"
창원 노출 여장<b>남자</b> “경찰관님이 <b>패션</b>을 아느냐”,"

女속옷·쇼트팬츠·짧은 치마 입어공개 음란 행위 없어 처벌 불가최근 경남 창원에서 여성 속옷을 입고 거리를 활보하는 ‘여장 남자’가 연일 목격되면서 논란이 일고 있다. 이 남성은 경찰 면담에서 “패션의 표현”이라고 말해 여장을 멈출 생각이 없는 것으로 전해졌다.10일 경남경찰청에 따르면 지난 5월부터 SNS에 여성 속옷을 입은 남성이 창원시내에서 목격되고 있다는 글이 올라왔다. 실제 이 남성은 여성 속옷인 검은색 끈 민소매와 몸에 달라붙는 쇼트팬츠, 속바지가 있는 짧은 치마를 입고 창원의 번화가인 상남동~중앙동 일대에서 자전거를 타고 다니거나, 공원을 돌아다니는 것이 수차례 목격됐다. 목격담에는 심지어 신체 일부분이 드러난 모습까지 눈에 띄기도 했다는 내용도 있다.167㎝ 정도의 키에 마른 체격인 여장 남자의 거리 활보가 한 달 넘게 지속되면서 혐오감이 느껴진다거나 민망하고 불쾌해 단속해야 하는 것 아니냐는 112신고 전화가 이어졌다.하지만 경찰은 현실적으로 형사처벌이 어렵다는 입장이다. 형법상 ‘공연음란’ 혐의로 처벌하려면 공공장소에서 성기 노출 등 음란하다고 판단되는 행위를 해야 하지만, 이 남성은 노출이 심한 여성 옷만 입고 거리를 다닐 뿐 다른 행위는 하지 않아 처벌이 어렵다는 것이다. 또 시민들에게 위협을 느끼게 하거나, 별다른 해도 끼치지도 않아 ‘경범죄(과다노출)’로 단속할 수도 없다는 입장이다.논란이 확산하자 경찰은 이 남성을 찾아가 3차례 면담했다. 20대 초반인 이 남성은 “고등학교를 졸업한 뒤 여장을 하고 외출하기 시작했다”며 “여자 옷이 좋고, 다른 사람들이 관심을 가져주는 것이 좋아 여자 옷을 즐겨 입는다”고 말한 것으로 전해졌다. 여자 옷은 분리수거함에서 마음에 드는 것을 골라 세탁해 입고 다니는 것으로 알려졌다. 경찰은 “혐오감을 느끼는 시민도 있다”며 이 남성에게 자제를 부탁했다. 그러나 이 남성은 “패션인데 왜 그러느냐. 경찰관님은 패션에 대해 아느냐”고 반문한 것으로 전해졌다. 창원=박영수 기자 buntle@munhwa.com[ 문화닷컴 | 네이버 뉴스 채널 구독 | 모바일 웹 | 슬기로운 문화생활 ][Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지(구독신청:02)3701-5555)]
		
"
"&apos;<b>패션</b>대전&apos; 전현무vs기안84, 대결 전 길거리 사전 투표..승자는?(라스)","
 
[OSEN=하수정 기자] ‘나 혼자 산다’ 전현무가 남자의 로망인 바버숍에 간다. ‘패션 스승’ 코드 쿤스트가 준비한 전현무 이미지 변신 프로젝트 중 ‘시크릿 플랜’이 가동되는 것. 머리, 수염 스타일 변화로 ‘무드로(전현무+주드로)’의 정점을 찍는 전현무의 모습이 예고돼 기대감을 증폭시킨다.오는 14일 밤 11시 10분에 방송되는 MBC ‘나 혼자 산다’(연출 허항 강지희 박수빈)에서는 전현무와 코드 쿤스트, 기안84와 송민호의 패션 대전 그 두 번째 이야기가 공개된다.앞서 코드 쿤스트는 전현무의 이미지와 분위기를 바꿔야 하는 사명감을 안고 캐리어 두 개에 가득 패션 아이템을 준비해 전현무의 집을 찾았다. 코드 쿤스트는 전현무의 단점은 가리고 장점을 살려 “범접 불가 전현무”를 만들겠다고 선언했던 터.전현무 팀은 의상을 고른 뒤 코드 쿤스트가 준비한 ‘전현무 변신 시크릿 플랜’을 가동한다. 남성미 넘치는 유러피안 스타일을 원하는 ‘무드로’로의 변신 정점을 찍기 위해 바버숍을 예약한 것.억새 같은 수염, 얇은 머리 컬을 가진 전현무는 바버의 도전 의욕을 불러일으키는 손님에 등극한다. 수염 담당 바버와 머리 스타일 담당 바버는 세상 진지하게 전현무의 변신을 위해 열정을 불태운다는 전언이다.과연 전현무가 시추 비주얼에서 벗어나 ‘무드로’에 더 가까워질 수 있을지 본방 사수 욕구를 자극한다. 특히 코드 쿤스트는 전현무의 달라진 비주얼을 보고 “분위기가 큐티에서 섹시로 바뀌었다”며 감탄한다는 전언이라 더욱 호기심을 증폭시킨다.한편 일찌감치 패션 대전 의상을 정하고 여유를 만끽하던 기안84와 송민호는 패션 대전이 열릴 장소로 향한다. 앞서 런던에서 ‘패피(패션 피플) 2인조’로 변신해 거리를 활보했던 이들은 런던에 이어 서울 거리도 런웨이로 만든다. 기안84와 송민호의 패션 센스에 소녀 팬이 뒤따를 정도라고.  기안84와 송민호는 본 대결 전 소녀 팬들을 대상으로 길거리 사전 투표를 실시한다. 압도적인 승리를 확신하는 기안84와 송민호의 모습이 본 대결 결과를 궁금케 한다.머리부터 발끝까지 섹시함을 입은 전현무 역시 이동 중 만난 ‘알파 세대’에게 픽을 당하자 자신감을 풀 충전하며 길거리를 접수한다. 전현무의 제스처에 청담동 일대가 마비된다고. 전현무의 변신이 과연 패션 대전 승리로 이어졌을지 본방송을 기대하게 만든다.전현무와 기안84의 본 대결 전 사전 투표 결과는 오는 14일 밤 11시 10분 방송되는 '나 혼자 산다'를 통해 확인할 수 있다.한편 ‘나 혼자 산다‘는 1인 가구 스타들의 다채로운 무지개 라이프를 보여주는 싱글 라이프 트렌드 리더 프로그램으로 많은 사랑을 받고 있다./ hsjssu@osen.co.kr[사진] MBC ‘나 혼자 산다’
"
